project,tag,n_samples,route_a_name_pattern,route_b_condition_match,route_c_value_vocab,route_reviewed_ground_truth,top_values
PRJEB11419,covid_chronic_conditions_any_autoimmune_disease,618,True,False,False,False,"{""false"": 389, ""not provided"": 224, ""true"": 5}"
PRJEB11419,covid_chronic_conditions_arthritis,618,True,False,False,False,"{""false"": 385, ""not provided"": 224, ""true"": 9}"
PRJEB11419,covid_chronic_conditions_asthma_or_other_lung_problems,618,True,False,False,False,"{""false"": 375, ""not provided"": 224, ""true"": 19}"
PRJEB11419,covid_chronic_conditions_atrial_fibrillation_or_atrial_flutter,356,True,False,False,False,"{""not provided"": 224, ""false"": 132}"
PRJEB11419,covid_chronic_conditions_cancer,356,True,False,False,False,"{""not provided"": 224, ""false"": 132}"
PRJEB11419,covid_chronic_conditions_chronic_obstructive_pulmonary_disease_copd,356,True,False,False,False,"{""not provided"": 224, ""false"": 130, ""true"": 2}"
PRJEB11419,covid_chronic_conditions_congestive_heart_failure,356,True,False,False,False,"{""not provided"": 224, ""false"": 132}"
PRJEB11419,covid_chronic_conditions_deep_vein_thrombosis,356,True,False,False,False,"{""not provided"": 224, ""false"": 132}"
PRJEB11419,covid_chronic_conditions_diabetes_or_high_blood_sugar,356,True,False,False,False,"{""not provided"": 224, ""false"": 122, ""true"": 10}"
PRJEB11419,covid_chronic_conditions_epilepsy_or_seizures,356,True,False,False,False,"{""not provided"": 224, ""false"": 132}"
PRJEB11419,covid_chronic_conditions_frequent_or_very_bad_headaches,543,True,False,False,False,"{""false"": 307, ""not provided"": 224, ""true"": 12}"
PRJEB11419,covid_chronic_conditions_heart_disease__myocardial_infarction,356,True,False,False,False,"{""not provided"": 224, ""false"": 132}"
PRJEB11419,covid_chronic_conditions_heart_problems,618,True,False,False,False,"{""false"": 389, ""not provided"": 224, ""true"": 5}"
PRJEB11419,covid_chronic_conditions_hiv,356,True,False,False,False,"{""not provided"": 224, ""false"": 132}"
PRJEB11419,covid_chronic_conditions_hypertension,618,True,False,False,False,"{""false"": 379, ""not provided"": 224, ""true"": 15}"
PRJEB11419,covid_chronic_conditions_immune_disorder,618,True,False,False,False,"{""false"": 392, ""not provided"": 224, ""true"": 2}"
PRJEB11419,covid_chronic_conditions_kidney_problems,618,True,False,False,False,"{""false"": 392, ""not provided"": 224, ""true"": 2}"
PRJEB11419,covid_chronic_conditions_pulmonary_embolism,356,True,False,False,False,"{""not provided"": 224, ""false"": 132}"
PRJEB11419,covid_chronic_conditions_seasonal_allergies,805,True,False,False,False,"{""false"": 532, ""not provided"": 224, ""true"": 49}"
PRJEB11419,covid_chronic_conditions_serious_acne_or_skin_problems,356,True,False,False,False,"{""not provided"": 224, ""false"": 132}"
PRJEB11419,covid_chronic_conditions_serious_stomach_or_bowel_problems,618,True,False,False,False,"{""false"": 385, ""not provided"": 224, ""true"": 9}"
PRJEB11419,covid_chronic_conditions_stroke,356,True,False,False,False,"{""not provided"": 224, ""false"": 131, ""true"": 1}"
PRJEB11419,covid_chronic_conditions_unspecified,356,True,False,False,False,"{""not provided"": 224, ""false"": 132}"
PRJEB11419,covid_likely_exposure_yes_someone_with_medical_diagnosis_but_no_test,543,True,False,False,False,"{""false"": 317, ""not provided"": 224, ""true"": 2}"
PRJEB11419,covid_likely_exposure_yes_someone_with_possible_symptoms_but_no_diagnosis_by_doctor,805,True,False,False,False,"{""false"": 573, ""not provided"": 224, ""true"": 8}"
PRJEB11419,covid_suspected_positive,1104,False,False,True,False,"{""no symptoms or signs"": 779, ""unspecified"": 148, ""yes, have had some possible symptoms but tested negative"": 83, ""yes, have had some possible symptoms, but no diagnosis by doctor"": 54, ""yes, with a positive test"": 18}"
PRJEB11419,depression_bipolar_schizophrenia,2891,False,False,True,False,"{""unspecified"": 2565, ""not provided"": 288, ""i do not have this condition"": 18, ""diagnosed by a medical professional (doctor, physician assistant)"": 11, ""labcontrol test"": 4}"
PRJEB11419,diabetes,4831,False,False,True,True,"{""i do not have this condition"": 4510, ""diagnosed by a medical professional (doctor, physician assistant)"": 157, ""unspecified"": 135, ""not provided"": 17, ""self-diagnosed"": 6}"
PRJEB11419,epilepsy_or_seizure_disorder,3564,True,False,True,False,"{""i do not have this condition"": 3373, ""unspecified"": 117, ""diagnosed by a medical professional (doctor, physician assistant)"": 50, ""not provided"": 17, ""diagnosed by an alternative medicine practitioner"": 3}"
PRJEB11419,fungal_overgrowth,4842,False,False,True,False,"{""i do not have this condition"": 3993, ""unspecified"": 277, ""self-diagnosed"": 192, ""diagnosed by an alternative medicine practitioner"": 187, ""diagnosed by a medical professional (doctor, physician assistant)"": 173}"
PRJEB11419,ibd,4842,False,False,True,False,"{""i do not have this condition"": 4357, ""unspecified"": 233, ""diagnosed by a medical professional (doctor, physician assistant)"": 214, ""not provided"": 17, ""self-diagnosed"": 12}"
PRJEB11419,ibd diagnosis,1654,True,False,False,False,"{""unspecified"": 1556, ""crohn's disease"": 56, ""ulcerative colitis"": 31, ""labcontrol test"": 8, ""not collected"": 3}"
PRJEB11419,ibd_diagnosis_refined,4811,True,False,False,False,"{""unspecified"": 4575, ""colonic crohn's disease"": 79, ""ulcerative colitis"": 77, ""ileal crohn's disease"": 35, ""not provided"": 21}"
PRJEB11419,ibs,4840,False,False,True,False,"{""i do not have this condition"": 3633, ""diagnosed by a medical professional (doctor, physician assistant)"": 589, ""self-diagnosed"": 318, ""unspecified"": 250, ""diagnosed by an alternative medicine practitioner"": 30}"
PRJEB11419,kidney_disease,3998,True,False,True,False,"{""i do not have this condition"": 3756, ""unspecified"": 154, ""diagnosed by a medical professional (doctor, physician assistant)"": 63, ""not provided"": 17, ""self-diagnosed"": 5}"
PRJEB11419,liver_disease,3998,True,False,True,False,"{""i do not have this condition"": 3704, ""unspecified"": 200, ""diagnosed by a medical professional (doctor, physician assistant)"": 68, ""not provided"": 17, ""self-diagnosed"": 4}"
PRJEB11419,living_status,338,True,False,False,False,"{""not provided"": 263, ""labcontrol test"": 75}"
PRJEB11419,lung disease,3582,True,False,True,False,"{""i do not have this condition"": 3037, ""diagnosed by a medical professional (doctor, physician assistant)"": 392, ""unspecified"": 123, ""not provided"": 17, ""self-diagnosed"": 8}"
PRJEB11419,mental_illness_type_bipolar_disorder,2612,True,False,False,False,"{""no"": 1769, ""false"": 783, ""yes"": 27, ""true"": 15, ""unspecified"": 15}"
PRJEB11419,mental_illness_type_ptsd_post_traumatic_stress_disorder,980,True,False,False,False,"{""false"": 957, ""true"": 23}"
PRJEB11419,mental_illness_type_ptsd_posttraumatic_stress_disorder,1647,True,False,False,False,"{""no"": 1598, ""yes"": 28, ""unspecified"": 14, ""labcontrol test"": 4, ""not collected"": 3}"
PRJEB11419,migraine,4841,False,False,True,False,"{""i do not have this condition"": 3839, ""diagnosed by a medical professional (doctor, physician assistant)"": 531, ""self-diagnosed"": 297, ""unspecified"": 150, ""not provided"": 17}"
PRJEB11419,pku,2718,False,False,True,False,"{""i do not have this condition"": 2593, ""unspecified"": 103, ""not provided"": 14, ""diagnosed by a medical professional (doctor, physician assistant)"": 3, ""not collected"": 3}"
PRJEB11419,sibo,4842,False,False,True,False,"{""i do not have this condition"": 4238, ""unspecified"": 311, ""self-diagnosed"": 112, ""diagnosed by a medical professional (doctor, physician assistant)"": 104, ""diagnosed by an alternative medicine practitioner"": 57}"
PRJEB11419,skin_condition,4842,True,False,True,False,"{""i do not have this condition"": 3328, ""diagnosed by a medical professional (doctor, physician assistant)"": 1152, ""unspecified"": 189, ""self-diagnosed"": 134, ""diagnosed by an alternative medicine practitioner"": 19}"
PRJEB11419,subset_healthy,2142,True,False,False,False,"{""false"": 1226, ""true"": 882, ""labcontrol test"": 31, ""not collected"": 3}"
PRJEB11419,thyroid,4842,False,False,True,False,"{""i do not have this condition"": 4122, ""diagnosed by a medical professional (doctor, physician assistant)"": 470, ""unspecified"": 192, ""diagnosed by an alternative medicine practitioner"": 21, ""self-diagnosed"": 17}"
PRJEB15481,sample group,272,True,False,False,False,"{""human gut metagenome"": 246, ""monotonous feeding experiment"": 20, ""diet intervention and cohousing experiment"": 6}"
PRJEB15534,lung/pulmonary disorder,127,True,False,False,True,"{""atopic asthma"": 71, ""control (no atopic asthma)"": 56}"
PRJEB1799,agegroup,169,True,False,False,False,"{""adult"": 106, ""adolescent"": 38, ""senior"": 25}"
PRJEB20766,host disease status,254,True,False,False,False,"{""high risk for asthma"": 137, ""low risk for asthma"": 117}"
PRJEB20773,opv response,240,False,False,True,False,"{""seropositive"": 130, ""seronegative"": 110}"
PRJEB21946,probiotic group,336,True,False,False,False,"{""1"": 210, ""0"": 126}"
PRJEB21946,zinc group,336,True,False,False,False,"{""0"": 260, ""1"": 76}"
PRJEB22676,lung/pulmonary disorder,72,True,False,False,True,"{""atopic asthma"": 40, ""control (no atopic asthma)"": 32}"
PRJEB27807,env_medium,341,False,False,True,False,"{""breast milk"": 82, ""oral catheter secretion"": 82, ""endotracheal catheter secretion"": 78, ""stool"": 76, ""sequencing negative ctrl"": 6}"
PRJEB28159,burden group for campylobacter,925,True,False,False,False,"{""mid"": 390, ""low"": 318, ""high"": 217}"
PRJEB28159,burden group for eaec,925,True,False,False,False,"{""mid"": 397, ""low"": 324, ""high"": 204}"
PRJEB28159,burden group for giardia,925,True,False,False,False,"{""low"": 511, ""mid"": 229, ""high"": 185}"
PRJEB28159,burden group for norovirus,925,True,False,False,False,"{""low"": 364, ""mid"": 338, ""high"": 223}"
PRJEB28159,in subcohort with no diarrhea for 30 days,928,True,False,False,False,"{""no"": 688, ""yes"": 240}"
PRJEB28159,number of who food groups,918,True,False,False,False,"{""7"": 274, ""6"": 222, ""5"": 137, ""0"": 98, ""1"": 85}"
PRJEB31840,disease_activity,107,True,False,False,False,"{""active"": 48, ""remission"": 29, ""healthy"": 18, ""partialresponder"": 12}"
PRJEB32244,sample_type,117,False,False,True,False,"{""fermentation1effluent"": 68, ""fermentation2effluent"": 46, ""mockcommunity"": 1, ""positivecontrol"": 1, ""infant1fecalsample"": 1}"
PRJEB36585,comparison_group,130,True,False,False,False,"{""geohelmnintospositivos"": 39, ""malariapositivos"": 33, ""a_uninfected"": 31, ""both"": 27}"
PRJEB37289,group,62,True,False,False,False,"{""icu"": 35, ""no_abx"": 20, ""abx"": 7}"
PRJEB38835,intervention_group,224,True,False,False,False,"{""endurance"": 78, ""strength"": 67, ""control"": 66, ""elite"": 13}"
PRJEB38948,sample group,3065,True,False,False,False,"{""infant stool"": 2333, ""maternal stool"": 556, ""maternal stool control"": 36, ""mock community"": 36, ""mock community (qiagen extracted)"": 36}"
PRJEB39382,experimental group,258,True,False,False,True,"{""sick"": 180, ""healthy"": 74, ""not provided"": 4}"
PRJEB39880,condition,71,True,False,False,False,"{""eoe baseline"": 34, ""control"": 10, ""eoe post-stc"": 9, ""eoe post-ppi"": 9, ""eoe post-fed"": 9}"
PRJEB42155,diagnosis,213,True,False,False,True,"{""cd"": 118, ""uc"": 74, ""healthy_control"": 19, ""ind"": 1, ""cd (from uc 7/17/2018)"": 1}"
PRJEB42155,historical_disease_extent,79,True,False,False,False,"{""pancolites"": 32, ""left side colites"": 30, ""proctitis"": 11, ""unk"": 4, ""rectosigmoiditis"": 1}"
PRJEB42687,asd,78,False,True,False,False,"{""no"": 42, ""yes"": 36}"
PRJEB42687,asd_numeric,78,False,True,False,True,"{""0"": 42, ""1"": 36}"
PRJEB42687,asd_sibling,42,False,True,False,False,"{""no"": 29, ""yes"": 13}"
PRJEB4335,cohort,58,True,False,False,False,"{""a2"": 22, ""b"": 13, ""b2"": 7, ""na"": 6, ""b1"": 6}"
PRJEB4335,hiv,58,False,False,True,True,"{""positive"": 30, ""negative"": 22, ""na"": 6}"
PRJEB4335,status,58,True,False,False,False,"{""chronic"": 26, ""negative"": 22, ""na"": 6, ""acute"": 4}"
PRJEB44113,intervention_group,116,True,False,False,False,"{""imf"": 67, ""dcr"": 49}"
PRJEB46174,vreswabpositive,279,False,False,False,True,"{""0"": 172, ""1"": 77, ""not collected"": 30}"
PRJEB5729,control,864,True,False,False,False,"{""no"": 863, ""yes"": 1}"
PRJEB5729,hormonalbirthcontrol,847,True,False,False,False,"{""no"": 563, ""pill"": 230, ""nuvaring"": 26, ""dmpa"": 10, ""yes.i.have.an.iud"": 9}"
PRJEB5729,ibd,847,False,False,False,True,"{""no"": 803, ""colitis"": 22, ""yes.ibs"": 12, ""crohns"": 10}"
PRJEB5729,skinconditions,838,True,False,False,False,"{""none"": 718, ""eczema"": 71, ""eczema.psoriasis"": 16, ""psoriasis"": 14, ""other.subacute.cutaneous.lupus.erythematosus.this.is.non.scarring.nonatrophy.producing.photosensitive.dermatosis"": 10}"
PRJNA227062,host_disease,94,True,False,False,True,"{""pos"": 52, ""neg"": 42}"
PRJNA246121,disease,84,True,False,False,True,"{""nafld"": 53, ""healthy"": 31}"
PRJNA280026,description,269,False,False,False,True,"{""normal"": 61, ""adenoma"": 57, ""carcinoma"": 52, ""carcinoma_adjacent"": 51, ""adenoma_adjacent"": 47}"
PRJNA290926,diagnosis,492,True,False,False,True,"{""normal"": 122, ""cancer"": 120, ""adv adenoma"": 109, ""adenoma"": 89, ""high risk normal"": 50}"
PRJNA307231,HBV_coinfection,218,False,False,True,False,"{""negative"": 187, ""positive"": 31}"
PRJNA307231,HCV_coinfection,240,False,False,True,False,"{""negative"": 201, ""positive"": 39}"
PRJNA307231,HIV_RiskGroup,344,True,False,False,False,"{""msm"": 187, ""hts"": 127, ""pwid"": 30}"
PRJNA307231,HIV_serostatus,344,True,False,True,True,"{""positive"": 287, ""negative"": 57}"
PRJNA307231,PCR_Chlamydia_trachomatis,211,False,False,True,False,"{""negative"": 195, ""positive"": 16}"
PRJNA307231,Syphilis_serology,227,False,False,True,False,"{""negative"": 193, ""positive"": 34}"
PRJNA307992,CDI_clinical_result_for_sample,230,False,False,True,False,"{""positive"": 177, ""negative"": 27, ""na"": 26}"
PRJNA307992,CDI_cultivation_results,230,False,False,True,False,"{""positive"": 161, ""negative"": 58, ""na"": 7, ""positive_maybe"": 3, ""no_sample"": 1}"
PRJNA307992,host_disease,230,True,False,False,False,"{""recurrent cdi"": 94, ""nonrecurrent cdi"": 85, ""reinfection cdi"": 51}"
PRJNA307992,patient_group,230,True,False,False,True,"{""recurrent"": 94, ""nonrecurrent"": 85, ""reinfection"": 51}"
PRJNA307992,sample_status,230,True,False,False,False,"{""index"": 76, ""treatment"": 48, ""reinfection"": 39, ""recurrence"": 38, ""recovery"": 29}"
PRJNA311147,case_control,92,True,False,False,True,"{""1"": 46, ""0"": 46}"
PRJNA311147,match_group_id,92,True,False,False,False,"{""14"": 6, ""39"": 6, ""15"": 6, ""26"": 6, ""87"": 6}"
PRJNA313391,gastrointest_disord,120,True,False,False,False,"{""gastritis"": 30, ""intestinal metaplasia"": 30, ""early gastric cancer"": 30, ""advanced gastric cancer"": 30}"
PRJNA317429,diagnosis,83,True,False,False,True,"{""not ibd"": 47, ""crohn's disease"": 36}"
PRJNA318004,diagnosis,408,True,False,False,True,"{""cancer"": 101, ""normal"": 98, ""adv adenoma"": 85, ""adenoma"": 77, ""high risk normal"": 43}"
PRJNA323360,Experimental Conditions,79,True,False,False,False,"{""control"": 42, ""before"": 24, ""after"": 13}"
PRJNA324147,gastrointest_disord,90,True,False,False,True,"{""normal"": 54, ""cd"": 26, ""uc"": 10}"
PRJNA342173,Status,142,True,False,False,True,"{""0"": 73, ""1"": 69}"
PRJNA349463,rural_urban_status,80,True,False,False,False,"{""rural"": 40, ""urban"": 40}"
PRJNA350277,gastrointest_disord,652,True,False,False,True,"{""none"": 553, ""obesity"": 62, ""crohn (remission)"": 11, ""irritable bowel syndrome"": 11, ""mild irritable bowel syndrome"": 11}"
PRJNA350277,host_disease,652,True,False,False,False,"{""none"": 501, ""#n/b"": 59, ""not applicable"": 52, ""not collected"": 40}"
PRJNA350277,host_phenotype,652,True,False,False,False,"{""not collected"": 541, ""#n/b"": 59, ""not applicable"": 52}"
PRJNA350277,liver_disord,652,True,False,False,False,"{""not collected"": 541, ""#n/b"": 59, ""not applicable"": 52}"
PRJNA354863,host_RiskGroup,62,True,False,False,False,"{""het"": 39, ""msm"": 15, ""ivdu"": 5, ""bp"": 2, ""unknown"": 1}"
PRJNA355138,DNAextractioncontrol,50,True,False,False,False,"{""no"": 48, ""yes"": 2}"
PRJNA355138,host_disease,50,True,False,False,False,"{""hiv"": 42, ""not applicable"": 8}"
PRJNA355138,patientcontrol,50,True,False,False,False,"{""patient"": 36, ""control"": 6, ""donor"": 6, ""missing"": 2}"
PRJNA362366,Disease_Free,67,True,False,False,False,"{""y"": 61, ""unknown"": 5, ""n"": 1}"
PRJNA369083,Rxn Conditiond,85,True,False,False,False,"{""69td"": 62, ""70"": 23}"
PRJNA382861,host_disease,263,True,False,False,True,"{""hbv"": 206, ""nafld"": 31, ""healthy"": 26}"
PRJNA386260,Ever.diagnosed.with.Clostridium.Difficle,211,True,False,False,False,"{""0. no"": 201, ""na"": 5, ""1. yes"": 4, ""2. unknown"": 1}"
PRJNA388263,gastrointest_disord,443,True,False,False,False,"{""none"": 419, ""not applicable"": 24}"
PRJNA388263,host_disease,443,True,False,False,False,"{""healthy"": 419, ""not applicable"": 24}"
PRJNA398089,host_disease,176,True,False,False,True,"{""cd"": 85, ""uc"": 46, ""nonibd"": 45}"
PRJNA398187,Inflammation status,347,True,False,False,False,"{""a"": 133, ""i"": 132, ""0.2"": 32, ""0.1"": 31, ""i.1"": 5}"
PRJNA401981,host_disease,80,True,False,False,True,"{""none"": 40, ""obesity"": 40}"
PRJNA413199,condition_at_sampling,454,True,False,False,True,"{""crohn's disease"": 144, ""ulcerative colitis"": 109, ""healthy"": 70, ""post-fmt"": 66, ""pre-fmt"": 32}"
PRJNA413199,experimental_group,454,True,False,False,False,"{""ibd"": 253, ""fmtrecipient"": 98, ""healthy"": 70, ""donor"": 18, ""pouch"": 15}"
PRJNA414540,Group,276,True,False,False,False,"{""a"": 140, ""b"": 135, ""b-a48"": 1}"
PRJNA428477,cre_status,131,True,False,True,True,"{""negative"": 99, ""kpc_positive"": 32}"
PRJNA428736,status,1201,True,False,False,False,"{""before"": 601, ""during"": 600}"
PRJNA434133,asthma_status,278,True,False,False,True,"{""asthma"": 143, ""non-asthma"": 135}"
PRJNA434133,obesity_status,278,True,False,False,False,"{""obese"": 139, ""non-obese"": 139}"
PRJNA445932,case_control,174,True,False,True,True,"{""control"": 103, ""case"": 71}"
PRJNA450340,gastrointest_disord,221,True,False,False,False,"{""hc"": 46, ""ra"": 45, ""cd"": 42, ""uc"": 40, ""ms"": 40}"
PRJNA450340,host_disease,221,True,False,False,True,"{""hc"": 46, ""ra"": 45, ""cd"": 42, ""uc"": 40, ""ms"": 40}"
PRJNA450540,gastrointest_disord,256,True,False,False,False,"{""crohn\u2019s disease"": 234, ""none"": 22}"
PRJNA474717,pulmonary_disord,60,True,False,False,False,"{""asthma"": 45, ""healthy"": 14, ""na"": 1}"
PRJNA480711,Cohort,243,True,False,False,True,"{""nafl"": 87, ""high bmi"": 82, ""normal bmi"": 54, ""nash"": 20}"
PRJNA481413,host_Hp-status,445,True,False,True,True,"{""negative"": 242, ""positive"": 203}"
PRJNA485316,screenPCRresult,876,False,False,True,True,"{""kpc positive"": 683, ""negative"": 181, ""kpc(+), ndm(+)"": 11, ""ndm positive"": 1}"
PRJNA485797,host_disease,179,True,False,False,True,"{""bipolar disorder"": 115, ""healthy control"": 64}"
PRJNA486009,gastrointest_disord,182,True,False,False,False,"{""none"": 100, ""diarrhea"": 82}"
PRJNA493625,health_state,68,True,False,False,False,"{""control"": 41, ""malabsorptive"": 27}"
PRJNA495320,host_disease,184,True,False,False,False,"{""none"": 166, ""na"": 18}"
PRJNA495320,sequencing_status,184,True,False,False,False,"{""ok"": 157, ""failed"": 8, ""control01"": 1, ""control02"": 1, ""control03"": 1}"
PRJNA511474,Group,74,True,False,False,False,"{""p"": 30, ""a"": 28, ""n"": 16}"
PRJNA511474,env_local_scale,74,False,False,False,True,"{""normal site"": 45, ""acf site"": 29}"
PRJNA516932,treatmentgroup,802,True,False,False,False,"{""placebo"": 406, ""udca"": 396}"
PRJNA517509,age group (months),280,True,False,False,False,"{""36"": 140, ""24"": 140}"
PRJNA517509,control/intervention,280,True,False,False,False,"{""i"": 146, ""c"": 134}"
PRJNA521398,disease,156,True,False,False,False,"{""patient with fibromylagia (fm group)"": 77, ""unrelated control (control group)"": 48, ""same household adress as patient (control group)"": 20, ""first-degree relation with a patient (control group)"": 11}"
PRJNA525701,host_disease,54,True,False,False,False,"{""alcohol use disorder"": 27, ""alcoholic hepatitis"": 16, ""alcoholic liver disease"": 7, ""healthy liver control"": 4}"
PRJNA526906,gastrointest_disord,435,True,False,False,True,"{""control"": 230, ""necrotizing enterocolitis"": 205}"
PRJNA527265,PatientGroup,258,True,False,False,False,"{""acquired carbapenem resistant pseudomonas"": 123, ""did not acquired carbapenem resistant pseudomonas"": 89, ""antibiotic free"": 46}"
PRJNA529598,group,483,True,False,False,True,"{""autism"": 262, ""neurotypical"": 179, ""neurotypical_mom"": 29, ""donor-initial"": 9, ""donor-maintenance"": 4}"
PRJNA532853,host_disease,67,True,False,False,False,"{""long-term ppi use"": 47, ""long-term ppi use and cirrhosis"": 20}"
PRJNA533120,host_disease,82,True,False,False,True,"{""nt"": 41, ""asd"": 41}"
PRJNA533120,host_phenotype,82,True,False,False,False,"{""nt"": 41, ""asd"": 41}"
PRJNA535518,cohort,100,True,False,False,False,"{""1"": 43, ""3"": 42, ""4"": 8, ""2"": 7}"
PRJNA541332,bmi_status,430,True,False,False,True,"{""1"": 172, ""2"": 144, ""0"": 114}"
PRJNA541332,cardiovascular_disease,422,True,False,False,False,"{""0"": 415, ""1"": 7}"
PRJNA541332,depression_status,79,True,False,False,False,"{""1"": 51, ""2"": 15, ""3"": 10, ""4"": 3}"
PRJNA541332,diabetes_status,430,True,False,False,False,"{""1"": 214, ""4"": 57, ""2"": 52, ""5"": 48, ""3"": 42}"
PRJNA541332,marital_status,255,True,False,False,False,"{""1"": 145, ""2"": 67, ""4"": 16, ""3"": 13, ""6"": 8}"
PRJNA541332,metabolic_phenotype,414,True,False,False,False,"{""3"": 122, ""5"": 107, ""0"": 55, ""2"": 50, ""1"": 45}"
PRJNA541332,stress_status,75,True,False,False,False,"{""2"": 45, ""1"": 21, ""3"": 9}"
PRJNA544545,study_group,387,True,False,False,False,"{""2"": 238, ""1"": 149}"
PRJNA544721,isolation_source,128,False,False,False,True,"{""ibs-d"": 84, ""hc"": 44}"
PRJNA548177,ConditioningIntensity,110,True,False,False,False,"{""cond1"": 78, ""cond2"": 32}"
PRJNA548177,UnderlyingDisease,110,True,False,False,False,"{""ud2"": 52, ""ud3"": 38, ""ud1"": 14, ""ud4"": 6}"
PRJNA554232,Sample Group,717,True,False,False,False,"{""control"": 503, ""cf"": 214}"
PRJNA554232,env_local_scale,717,False,False,False,True,"{""0"": 571, ""1"": 146}"
PRJNA556249,Kp,248,False,False,False,True,"{""0"": 210, ""1"": 38}"
PRJNA556249,swab_status,248,True,False,True,False,"{""bothnegative"": 190, ""kppositive"": 31, ""vrepositive"": 20, ""bothpositive"": 7}"
PRJNA559803,Treatment_Group,246,True,False,False,False,"{""emollient"": 118, ""no_emollient"": 114, ""extraction_control"": 14}"
PRJNA564612,host_group,109,True,False,False,False,"{""active"": 64, ""sedentary"": 45}"
PRJNA589036,host_disease,166,True,False,False,True,"{""uninfected"": 84, ""infected"": 82}"
PRJNA591924,host_disease,90,True,False,False,True,"{""none"": 47, ""major depressive disorder (mdd)"": 43}"
PRJNA601994,health_state,840,True,False,False,True,"{""parkinsons"": 524, ""control"": 316}"
PRJNA604466,gastrointest_disord,53,True,False,False,False,"{""normal"": 43, ""ibs"": 10}"
PRJNA610934,gastrointest_disord,51,True,False,False,False,"{""none"": 32, ""ulcerative colitis"": 19}"
PRJNA610934,host_disease,51,True,False,False,True,"{""none"": 21, ""ulcerative colitis"": 12, ""primary sclerosing cholangitis"": 11, ""primary sclerosing cholangitis + ulcerative colitis"": 7}"
PRJNA610934,liver_disord,51,True,False,False,False,"{""none"": 33, ""primary sclerosing cholangitis"": 18}"
PRJNA622267,host_disease,88,True,False,False,False,"{""mtbc-mtb"": 40, ""mtbc-maf"": 38, ""healthy"": 10}"
PRJNA622517,status,78,True,False,False,False,"{""healthy"": 76, ""nd"": 2}"
PRJNA631262,case,82,True,False,False,True,"{""false"": 55, ""true"": 27}"
PRJNA639644,disease,227,True,False,False,True,"{""gastriccancer"": 83, ""health"": 61, ""gastritis"": 54, ""colorectal cancer"": 29}"
PRJNA641414,Case_Status,309,True,False,False,True,"{""0"": 206, ""1"": 103}"
PRJNA644520,Adenoma_detected_during_colonocsopy,262,False,False,True,False,"{""adenoma negative"": 193, ""adenoma positive"": 55, ""nd"": 14}"
